hour,fluid,used_coolprop,T_evap_sat_K,T_cond_sat_K,P_evap_kPa,P_cond_kPa,h1,h2s,h2,h3,T_source_in_C,T_geo_in_C,Q_geo_kW,flow_src_kgps,flow_load_kgps,T_outdoor_C
0,R134a,1,364.211967,369.211967,3315.368278,3669.049080,437659.335960,439352.698890,440078.425860,263131.727791,107.4623,107.4623,0.0000,0.0000,0.0000,7.9000
1,R134a,1,358.888119,363.888119,2971.150556,3293.521532,438149.359763,439952.912350,440725.863458,264331.142625,90.7381,90.7381,0.0000,0.0000,0.0000,7.6000
2,R134a,1,351.187943,356.187943,2524.909250,2808.067680,437739.204168,439704.094912,440546.190946,265633.698162,83.0379,83.0379,0.0000,0.0000,0.0000,7.3000
3,R134a,1,346.081199,351.081199,2259.247236,2519.119289,436903.570690,438975.231704,439863.086425,266017.361205,77.9312,77.9312,0.0000,0.0000,0.0000,7.0000
4,R134a,1,341.559346,346.559346,2042.474078,2283.160425,435865.506590,438031.553597,438959.859457,267069.615208,73.4093,73.4093,0.0000,0.0000,0.0000,6.8000
5,R134a,1,340.269482,345.269482,1983.658604,2219.093163,435524.544302,437717.511229,438657.354198,267399.720992,72.1195,72.1195,0.0000,0.0000,0.0000,6.6000
6,R134a,1,342.093095,347.093095,2067.196972,2310.084195,436001.045980,438155.954274,439079.486400,267294.476400,73.9431,73.9431,0.0000,0.0000,0.0000,6.4000
7,R134a,1,343.088713,348.088713,2113.923224,2360.960161,436244.897363,438379.028056,439293.655495,267217.790319,74.9387,74.9387,0.0000,0.0000,0.0000,6.4000
8,R134a,1,336.648631,341.648631,1825.417718,2046.593908,434472.037978,436740.623168,437712.873964,267774.514680,68.4986,68.4986,0.0000,0.0000,0.0000,7.1000
9,R134a,1,330.428982,335.428982,1576.107437,1774.333727,432372.954579,434771.859484,435799.961586,267423.373629,62.2790,42.9382,809.2143,10.0000,23.0000,7.9000
10,R134a,1,330.428982,335.428982,1576.107437,1774.333727,432372.954579,434771.859484,435799.961586,265268.524358,62.2790,62.2790,0.0000,0.0000,0.0000,8.4000
11,R134a,1,349.806819,354.806819,2450.790639,2727.465476,437552.241634,439546.035274,440400.518262,267807.919997,81.6568,81.6568,0.0000,0.0000,0.0000,8.8000
12,R134a,1,338.638249,343.638249,1911.132801,2140.057395,435067.219572,437294.240756,438248.678406,259424.452931,70.4882,39.2971,1306.0631,10.0000,23.0000,9.1000
13,R134a,1,338.638249,343.638249,1911.132801,2140.057395,435067.219572,437294.240756,438248.678406,262806.944195,70.4882,70.4882,0.0000,0.0000,0.0000,9.5000
14,R134a,1,322.467744,331.150000,1295.450393,1603.607823,429237.755829,433633.538013,435517.444663,269441.230168,54.3177,54.3177,0.0000,0.0000,0.0000,10.2000
15,R134a,1,322.467744,331.150000,1295.450393,1603.607823,429237.755829,433633.538013,435517.444663,262513.824181,54.3177,54.3177,0.0000,0.0000,0.0000,10.8000
16,R134a,1,360.040677,365.040677,3043.051216,3371.836036,438104.106064,439883.578562,440646.209632,266377.907394,91.8907,91.8907,0.0000,0.0000,0.0000,10.6000
17,R134a,1,296.767229,331.150000,638.395019,1603.607823,416690.385812,436160.990760,444505.535738,261045.499050,28.6172,18.5803,419.8881,10.0000,23.0000,10.1000
18,R134a,1,325.277574,331.150000,1389.809822,1603.607823,430395.609151,433330.845904,434588.804513,266472.781813,57.1276,57.1276,0.0000,0.0000,0.0000,9.5000
19,R134a,1,363.780796,368.780796,3286.308551,3637.268519,437727.301748,439429.431440,440158.915594,268053.473532,95.6308,95.6308,0.0000,0.0000,0.0000,8.7000
20,R134a,1,279.358862,331.150000,364.592555,1603.607823,406787.895019,438397.558559,451944.557220,261002.066158,11.2089,5.8796,222.7565,10.0000,23.0000,8.1000
21,R134a,1,315.792523,331.150000,1090.576802,1603.607823,426290.707271,434301.556513,437734.777617,266433.144889,47.6425,47.6425,0.0000,0.0000,0.0000,7.6000
22,R134a,1,334.563497,339.563497,1738.744840,1952.017894,433806.865424,436119.061240,437110.002305,267578.063878,66.4135,66.4135,0.0000,0.0000,0.0000,7.3000
23,R134a,1,327.105746,332.105746,1453.914682,1640.616330,431119.837687,433588.754833,434646.862181,266847.704167,58.9557,58.9557,0.0000,0.0000,0.0000,7.0000
24,R134a,1,318.720513,331.150000,1177.191985,1603.607823,427615.471071,434015.386023,436758.206716,268555.429373,50.5705,50.5613,0.0000,0.0000,0.0000,6.7000
25,R134a,1,344.077432,349.077432,2161.120665,2412.337021,436475.145960,438588.641071,439494.424689,268841.519227,75.9274,75.9181,0.0000,0.0000,0.0000,6.4000
26,R134a,1,309.020734,331.150000,908.605444,1603.607823,423055.441696,434944.946166,440040.448082,263263.839295,40.8707,25.9972,622.3945,10.0000,23.0000,6.0000
27,R134a,1,317.852124,331.150000,1150.984286,1603.607823,427227.591447,434101.154898,437046.967806,264302.897390,49.7021,49.7021,0.0000,0.0000,0.0000,5.4000
28,R134a,1,330.329515,335.329515,1572.341720,1770.215865,432336.694173,434737.689981,435766.688184,262189.144159,62.1795,62.1795,0.0000,0.0000,0.0000,4.8000
29,R134a,1,320.223791,331.150000,1223.615442,1603.607823,428276.532964,433864.708697,436259.641154,265292.702049,52.0738,52.0738,0.0000,0.0000,0.0000,4.2000
30,R134a,1,325.478677,331.150000,1396.755518,1603.607823,430476.430900,433308.522863,434522.276561,267453.323776,57.3287,57.3287,0.0000,0.0000,0.0000,3.8000
31,R134a,1,322.179991,331.150000,1286.066195,1603.607823,429116.257311,433663.655385,435612.540274,269621.239765,54.0300,54.0300,0.0000,0.0000,0.0000,3.6000
32,R134a,1,323.560047,331.150000,1331.541163,1603.607823,429694.095385,433517.800201,435156.530837,272296.695259,55.4100,55.4002,0.0000,0.0000,0.0000,4.2000
33,R134a,1,322.383103,331.150000,1292.684758,1603.607823,429202.072512,433642.412418,435545.415235,259392.470434,54.2331,31.1377,966.8981,10.0000,23.0000,5.2000
34,R134a,1,322.260196,331.150000,1288.676700,1603.607823,429150.175614,433655.275760,435586.032965,264492.683526,54.1102,54.1102,0.0000,0.0000,0.0000,6.3000
35,R134a,1,322.635548,331.150000,1300.946511,1603.607823,429308.363700,433615.905314,435461.994576,270976.753986,54.4855,54.4855,0.0000,0.0000,0.0000,7.7000
36,R134a,1,322.635548,331.150000,1300.946511,1603.607823,429308.363700,433615.905314,435461.994576,262359.446027,54.4855,54.4855,0.0000,0.0000,0.0000,9.4000
37,R134a,1,321.708281,331.150000,1270.793216,1603.607823,428915.948427,433712.710153,435768.465179,271825.210807,53.5583,53.5583,0.0000,0.0000,0.0000,11.5000
38,R134a,1,321.708281,331.150000,1270.793216,1603.607823,428915.948427,433712.710153,435768.465179,267979.576319,53.5583,53.5583,0.0000,0.0000,0.0000,14.1000
39,R134a,1,321.708281,331.150000,1270.793216,1603.607823,428915.948427,433712.710153,435768.465179,267097.485414,53.5583,53.5583,0.0000,0.0000,0.0000,16.9000
40,R134a,1,321.708281,331.150000,1270.793216,1603.607823,428915.948427,433712.710153,435768.465179,267019.593253,53.5583,53.5583,0.0000,0.0000,0.0000,18.2000
41,R134a,1,321.708281,331.150000,1270.793216,1603.607823,428915.948427,433712.710153,435768.465179,267003.460330,53.5583,53.5583,0.0000,0.0000,0.0000,17.5000
42,R134a,1,321.708281,331.150000,1270.793216,1603.607823,428915.948427,433712.710153,435768.465179,265798.823468,53.5583,53.5583,0.0000,0.0000,0.0000,15.9000
43,R134a,1,321.708281,331.150000,1270.793216,1603.607823,428915.948427,433712.710153,435768.465179,262399.845570,53.5583,53.5583,0.0000,0.0000,0.0000,13.8000
44,R134a,1,320.665146,331.150000,1237.502237,1603.607823,428468.051685,433819.875222,436113.513881,272776.763641,52.5151,52.5151,0.0000,0.0000,0.0000,11.8000
45,R134a,1,320.665146,331.150000,1237.502237,1603.607823,428468.051685,433819.875222,436113.513881,265502.736304,52.5151,52.5151,0.0000,0.0000,0.0000,10.2000
46,R134a,1,318.971851,331.150000,1184.860095,1603.607823,427726.922852,433990.397623,436674.743954,272975.279259,50.8219,50.8125,0.0000,0.0000,0.0000,9.1000
47,R134a,1,318.971851,331.150000,1184.860095,1603.607823,427726.922852,433990.397623,436674.743954,263673.601616,50.8219,50.8219,0.0000,0.0000,0.0000,8.4000
48,R134a,1,320.001959,331.150000,1216.680049,1603.607823,428179.828101,433887.135434,436333.124291,269649.154967,51.8520,51.8520,0.0000,0.0000,0.0000,7.8000
49,R134a,1,318.435229,331.150000,1168.533355,1603.607823,427488.522140,434043.657699,436853.001510,259356.107149,50.2852,29.8066,857.3789,10.0000,23.0000,7.4000
50,R134a,1,318.956822,331.150000,1184.400514,1603.607823,427720.268709,433991.894034,436679.733460,264306.423567,50.8068,50.8068,0.0000,0.0000,0.0000,6.9000
51,R134a,1,319.345378,331.150000,1196.325253,1603.607823,427891.875521,433953.115323,436550.789523,268720.622759,51.1954,51.1954,0.0000,0.0000,0.0000,6.3000
52,R134a,1,318.468142,331.150000,1169.529855,1603.607823,427503.192214,434040.400865,436842.061716,272364.016893,50.3181,50.3086,0.0000,0.0000,0.0000,5.8000
53,R134a,1,318.864502,331.150000,1181.580384,1603.607823,427679.365449,434001.079912,436710.386110,259733.182311,50.7145,30.0038,866.8019,10.0000,23.0000,5.2000
54,R134a,1,318.645042,331.150000,1174.896695,1603.607823,427581.932757,434022.874597,436783.278242,262347.684060,50.4950,50.4950,0.0000,0.0000,0.0000,4.8000
55,R134a,1,318.183553,331.150000,1160.934508,1603.607823,427376.139426,434068.520599,436936.683958,264527.542037,50.0336,50.0336,0.0000,0.0000,0.0000,4.7000
56,R134a,1,318.055647,331.150000,1157.086877,1603.607823,427318.885536,434081.129124,436979.233518,267422.118397,49.9056,49.9056,0.0000,0.0000,0.0000,5.4000
57,R134a,1,317.757315,331.150000,1148.149715,1603.607823,427184.982756,434110.468580,437078.533932,271294.873238,49.6073,49.5976,0.0000,0.0000,0.0000,6.4000
58,R134a,1,317.572202,331.150000,1142.630357,1603.607823,427101.643513,434128.626349,437140.190422,260707.470021,49.4222,29.6433,828.1003,10.0000,23.0000,7.4000
59,R134a,1,317.512513,331.150000,1140.854898,1603.607823,427074.729707,434134.473800,437160.078411,266780.175603,49.3625,49.3625,0.0000,0.0000,0.0000,8.8000
60,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,267221.769219,49.0174,30.2492,785.4717,10.0000,23.0000,10.7000
61,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,270024.226205,49.0174,49.0174,0.0000,0.0000,0.0000,13.3000
62,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,268905.330497,49.0174,49.0174,0.0000,0.0000,0.0000,16.8000
63,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,268809.220932,49.0174,49.0174,0.0000,0.0000,0.0000,19.7000
64,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,268792.981589,49.0174,49.0174,0.0000,0.0000,0.0000,19.4000
65,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,268776.743229,49.0174,49.0174,0.0000,0.0000,0.0000,18.6000
66,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,268760.505852,49.0174,49.0174,0.0000,0.0000,0.0000,17.4000
67,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,267504.877272,49.0174,49.0174,0.0000,0.0000,0.0000,16.0000
68,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,264866.954608,49.0174,49.0174,0.0000,0.0000,0.0000,14.7000
69,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,261113.357240,49.0174,49.0174,0.0000,0.0000,0.0000,13.5000
70,R134a,1,315.301813,331.150000,1076.542346,1603.607823,426064.077755,434348.786053,437899.375323,270611.437157,47.1518,47.1518,0.0000,0.0000,0.0000,12.4000
71,R134a,1,315.301813,331.150000,1076.542346,1603.607823,426064.077755,434348.786053,437899.375323,264655.235234,47.1518,47.1518,0.0000,0.0000,0.0000,11.5000
72,R134a,1,315.036773,331.150000,1069.018717,1603.607823,425941.138608,434374.226844,437988.407517,272372.226765,46.8868,46.8773,0.0000,0.0000,0.0000,10.8000
73,R134a,1,315.036773,331.150000,1069.018717,1603.607823,425941.138608,434374.226844,437988.407517,264958.805123,46.8868,46.8868,0.0000,0.0000,0.0000,10.2000
74,R134a,1,315.048759,331.150000,1069.358108,1603.607823,425946.706364,434373.077306,437984.379138,271633.025712,46.8988,46.8891,0.0000,0.0000,0.0000,9.8000
75,R134a,1,315.048759,331.150000,1069.358108,1603.607823,425946.706364,434373.077306,437984.379138,263538.458007,46.8988,46.8988,0.0000,0.0000,0.0000,9.6000
76,R134a,1,314.605900,331.150000,1056.871885,1603.607823,425740.487156,434415.491889,438133.351061,269569.082167,46.4559,46.4559,0.0000,0.0000,0.0000,9.4000
77,R134a,1,314.605900,331.150000,1056.871885,1603.607823,425740.487156,434415.491889,438133.351061,261283.914884,46.4559,46.4559,0.0000,0.0000,0.0000,9.4000
78,R134a,1,314.598383,331.150000,1056.660895,1603.607823,425736.977966,434416.210823,438135.882048,267078.592872,46.4484,46.4484,0.0000,0.0000,0.0000,9.4000
79,R134a,1,314.189527,331.150000,1045.232487,1603.607823,425545.667053,434455.267495,438273.667685,265777.997946,46.0395,28.7830,722.1662,10.0000,23.0000,9.4000
80,R134a,1,314.189527,331.150000,1045.232487,1603.607823,425545.667053,434455.267495,438273.667685,264913.065590,46.0395,46.0395,0.0000,0.0000,0.0000,10.0000
81,R134a,1,314.171023,331.150000,1044.717441,1603.607823,425536.987844,434457.033106,438279.909646,271902.941527,46.0210,46.0116,0.0000,0.0000,0.0000,10.6000
82,R134a,1,314.171023,331.150000,1044.717441,1603.607823,425536.987844,434457.033106,438279.909646,265166.641679,46.0210,46.0210,0.0000,0.0000,0.0000,11.0000
83,R134a,1,313.692960,331.150000,1031.477334,1603.607823,425312.153350,434502.589422,438441.347739,265890.373210,45.5430,28.5666,710.4448,10.0000,23.0000,11.3000
84,R134a,1,313.692960,331.150000,1031.477334,1603.607823,425312.153350,434502.589422,438441.347739,266875.099236,45.5430,45.5430,0.0000,0.0000,0.0000,11.8000
85,R134a,1,313.692960,331.150000,1031.477334,1603.607823,425312.153350,434502.589422,438441.347739,261837.375597,45.5430,45.5430,0.0000,0.0000,0.0000,12.6000
86,R134a,1,313.632328,331.150000,1029.807155,1603.607823,425283.554332,434508.359781,438461.847831,272015.308392,45.4823,45.4823,0.0000,0.0000,0.0000,14.0000
87,R134a,1,313.632328,331.150000,1029.807155,1603.607823,425283.554332,434508.359781,438461.847831,269676.140742,45.4823,45.4823,0.0000,0.0000,0.0000,15.3000
88,R134a,1,313.632328,331.150000,1029.807155,1603.607823,425283.554332,434508.359781,438461.847831,267408.206156,45.4823,45.4823,0.0000,0.0000,0.0000,15.1000
89,R134a,1,313.632328,331.150000,1029.807155,1603.607823,425283.554332,434508.359781,438461.847831,264683.501469,45.4823,45.4823,0.0000,0.0000,0.0000,14.6000
90,R134a,1,313.632328,331.150000,1029.807155,1603.607823,425283.554332,434508.359781,438461.847831,261287.183178,45.4823,45.4823,0.0000,0.0000,0.0000,13.9000
91,R134a,1,312.710664,331.150000,1004.667811,1603.607823,424846.531022,434595.899534,438774.200325,270468.694594,44.5607,44.5607,0.0000,0.0000,0.0000,13.2000
