step,date,time,T_source_out_C,T_return_C,COP,Q_out_kW,P_el_kW,Q_geo_kW,T_outdoor_C,T_load_supply_C,T_load_return_C,T_hp_load_out_C,model,T_tank_C,HP_on,Q_space_req_kW,Q_dhw_req_kW,Q_space_served_kW,Q_dhw_served_kW,Q_unmet_kW,flow_src_kgps,flow_load_kgps,dP_kPa,P_pump_kW
0,2025-10-01,01:00,107.4623,107.4623,0.0000,0.0000,0.0000,0.0000,7.9000,40.7349,40.7349,40.7349,CP,40.7349,0,187.0000,0.3000,187.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2025-10-01,02:00,90.7381,90.7381,0.0000,0.0000,0.0000,0.0000,7.6000,41.4713,41.4713,41.4713,CP,41.4713,0,193.0000,0.3000,193.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2025-10-01,03:00,83.0379,83.0379,0.0000,0.0000,0.0000,0.0000,7.3000,42.2466,42.2466,42.2466,CP,42.2466,0,199.0000,0.3000,199.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
3,2025-10-01,04:00,77.9312,77.9312,0.0000,0.0000,0.0000,0.0000,7.0000,42.4239,42.4239,42.4239,CP,42.4239,0,205.0000,0.3000,205.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
4,2025-10-01,05:00,73.4093,73.4093,0.0000,0.0000,0.0000,0.0000,6.8000,43.0569,43.0569,43.0569,CP,43.0569,0,209.0000,0.3000,209.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
5,2025-10-01,06:00,72.1195,72.1195,0.0000,0.0000,0.0000,0.0000,6.6000,43.2396,43.2396,43.2396,CP,43.2396,0,213.0000,0.3000,213.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
6,2025-10-01,07:00,73.9431,73.9431,0.0000,0.0000,0.0000,0.0000,6.4000,43.1465,43.1465,43.1465,CP,43.1465,0,217.0000,3.3000,217.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
7,2025-10-01,08:00,74.9387,74.9387,0.0000,0.0000,0.0000,0.0000,6.4000,43.1049,43.1049,43.1049,CP,43.1049,0,217.0000,3.3000,217.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
8,2025-10-01,09:00,68.4986,68.4986,0.0000,0.0000,0.0000,0.0000,7.1000,43.5105,43.5105,43.5105,CP,43.5105,0,203.0000,0.3000,203.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
9,2025-10-01,10:00,62.2790,42.9475,43.2364,828.3734,19.1592,809.2143,7.9000,56.6866,48.0826,56.6866,CP,48.0826,1,187.0000,0.3000,187.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
10,2025-10-01,11:00,62.2790,62.2790,0.0000,0.0000,0.0000,0.0000,8.4000,41.9649,41.9649,41.9649,CP,41.9649,0,177.0000,0.3000,177.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
11,2025-10-01,12:00,81.6568,81.6568,0.0000,0.0000,0.0000,0.0000,8.8000,43.8501,43.8501,43.8501,CP,43.8501,0,169.0000,0.3000,169.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
12,2025-10-01,13:00,70.4882,39.2875,49.4633,1333.0127,26.9496,1306.0631,9.1000,59.7266,45.8811,59.7266,CP,45.8811,1,163.0000,0.3000,163.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
13,2025-10-01,14:00,70.4882,70.4882,0.0000,0.0000,0.0000,0.0000,9.5000,40.5225,40.5225,40.5225,CP,40.5225,0,155.0000,0.3000,155.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
14,2025-10-01,15:00,54.3177,54.3177,0.0000,0.0000,0.0000,0.0000,10.2000,44.8575,44.8575,44.8575,CP,44.8575,0,141.0000,0.3000,141.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
15,2025-10-01,16:00,54.3177,54.3177,0.0000,0.0000,0.0000,0.0000,10.8000,40.3960,40.3960,40.3960,CP,40.3960,0,129.0000,0.3000,129.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
16,2025-10-01,17:00,91.8907,91.8907,0.0000,0.0000,0.0000,0.0000,10.6000,43.1992,43.1992,43.1992,CP,43.1992,0,133.0000,0.3000,133.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
17,2025-10-01,18:00,28.6172,18.5865,5.8042,507.2882,87.4001,419.8881,10.1000,47.5291,42.2601,47.5291,CP,42.2601,1,143.0000,0.3000,143.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
18,2025-10-01,19:00,57.1276,57.1276,0.0000,0.0000,0.0000,0.0000,9.5000,42.8477,42.8477,42.8477,CP,42.8477,0,155.0000,0.3000,155.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
19,2025-10-01,20:00,95.6308,95.6308,0.0000,0.0000,0.0000,0.0000,8.7000,44.1194,44.1194,44.1194,CP,44.1194,0,171.0000,3.3000,171.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
20,2025-10-01,21:00,11.2089,5.8874,3.7210,304.6211,81.8647,222.7565,8.1000,43.9825,40.8185,43.9825,CP,40.8185,1,183.0000,3.3000,183.0000,3.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
21,2025-10-01,22:00,47.6425,47.6425,0.0000,0.0000,0.0000,0.0000,7.6000,42.6033,42.6033,42.6033,CP,42.6033,0,193.0000,0.3000,193.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
22,2025-10-01,23:00,66.4135,66.4135,0.0000,0.0000,0.0000,0.0000,7.3000,43.3865,43.3865,43.3865,CP,43.3865,0,199.0000,0.3000,199.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
23,2025-10-02,00:00,58.9557,58.9557,0.0000,0.0000,0.0000,0.0000,7.0000,42.8125,42.8125,42.8125,CP,42.8125,0,205.0000,0.3000,205.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
